(-0.375, 238.4199676513672)
(0.0, 24.175886154174805)
(0.0, 0.0)
(0.0, 41.20455551147461)
(0.0, 25.413803100585938)
(0.0, 9.29931640625)
(0.0, 15.226962089538574)
(-0.375, 27.372060775756836)
(-0.375, 32.884742736816406)
(0.0, 2.434152603149414)
(-0.375, 8.714826583862305)
(-0.375, 32.35004425048828)
(0.0, 5.635429382324219)
(-0.375, 8.725839614868164)
(-0.375, 38.778865814208984)
(0.0, 4.035553932189941)
(-0.375, 19.882131576538086)
(-0.375, 61.46041488647461)
(0.0, 6.585781097412109)
(-0.375, 12.78745174407959)
(-0.375, 35.7967643737793)
(0.0, 3.480562448501587)
(-0.375, 17.27242660522461)
(-0.375, 24.153907775878906)
(0.0, 4.733905792236328)
(-0.375, 18.94849967956543)
(-0.375, 32.55950164794922)
(0.0, 5.388445854187012)
(-0.375, 16.31716537475586)
(-0.375, 45.797821044921875)
(0.0, 7.576930999755859)
(-0.375, 99.30612182617188)
(-0.375, 8.084573745727539)
